,Chromosome,TSS,TTS,Description,PromLenJing,PromTypes,name,PromLenSagie,opn_score
424,2.0,650368.0,651192.0,"Bifunctional dehydrogenase and ferrochelatase, involved in the biosynthesis of siroheme, a prosthetic group used by sulfite reductase; required for sulfate assimilation and methionine biosynthesis",792.0,2.0,MET8,188.0,-1.847114090061302
425,2.0,651415.0,652998.0,"One of two S. cerevisiae homologs (Sds23p and Sds24p) of the S. pombe Sds23 protein, which is implicated in APC/cyclosome regulation; involved in cell separation during budding; may play an indirect role in fluid-phase endocytosis",790.0,2.0,SDS24,700.0,-0.8832430180850999
426,2.0,653356.0,655317.0,"Subunit of the HIR complex, a nucleosome assembly complex involved in regulation of histone gene transcription; mutants display synthetic defects with subunits of FACT, a complex that allows passage of RNA Pol II through nucleosomes",752.0,2.0,HPC2,129.0,-1.3063779078487323
427,2.0,657600.0,655576.0,"Protein required for oxidation of specific cysteine residues of the transcription factor Yap1p, resulting in the nuclear localization of Yap1p in response to stress",732.0,2.0,YBP1,138.0,-1.5661779484383072
428,2.0,657832.0,658392.0,Conserved ubiquitin-like modifier involved in autophagy and the Cvt pathway; conjugated to Atg5p to form a complex involved in Atg8p lipidation; Atg12p-Atg5p also forms a complex with Atg16p that is required for autophagosome formation,757.0,2.0,ATG12,138.0,-1.4484201047557823
429,2.0,662249.0,658707.0,"Pyruvate carboxylase isoform, cytoplasmic enzyme that converts pyruvate to oxaloacetate; highly similar to isoform Pyc1p but differentially regulated; mutations in the human homolog are associated with lactic acidosis",1200.0,1.0,PYC2,446.0,1.5903983612377948
430,2.0,663303.0,662499.0,Putative protein of unknown function; YBR219C is not an essential gene,,,YBR219C,,
431,2.0,664677.0,662995.0,Putative protein of unknown function; YBR220C is not an essential gene,,,YBR220C,176.0,
432,2.0,666253.0,665153.0,"E1 beta subunit of the pyruvate dehydrogenase (PDH) complex, which is an evolutionarily-conserved multi-protein complex found in mitochondria",903.0,2.0,PDB1,151.0,-1.1289460191123553
433,2.0,668351.0,666720.0,"Peroxisomal protein that binds AMP and mRNA, localizes to both the peroxisomal peripheral membrane and matrix, expression is highly inducible by oleic acid, similar to E. coli long chain acyl-CoA synthetase",734.0,2.0,PCS60,25.0,-1.0128722414685054
434,2.0,670297.0,668663.0,"Tyrosyl-DNA Phosphodiesterase I, hydrolyzes 3' and 5'-phosphotyrosyl bonds, involved in the repair of DNA lesions created by topoisomerase I and topoisomerase II; mutations in human homolog result in the neurodegenerative disease SCANI",1200.0,1.0,TDP1,700.0,-1.8103154086012896
435,2.0,670125.0,670640.0,"Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data; partially overlaps the verified gene TDP1",,,YBR224W,,
436,2.0,670627.0,673329.0,Putative protein of unknown function; non-essential gene identified in a screen for mutants affected in mannosylphophorylation of cell wall components,,,YBR225W,,
437,2.0,673565.0,673155.0,"Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data; partially overlaps the uncharacterized ORF YBR225W",,,YBR226C,,
438,2.0,675134.0,673572.0,Mitochondrial matrix protein; putative ATP-binding chaperone with non-proteolytic function; similar to bacterial ClpX proteins,758.0,2.0,MCX1,109.0,-0.6298946407846477
439,2.0,675313.0,676227.0,"Subunit of a complex, with Slx4p, that hydrolyzes 5' branches from duplex DNA in response to stalled or converging replication forks; function overlaps with that of Sgs1p-Top3p",700.0,2.0,SLX1,109.0,-0.917290891092339
440,2.0,679221.0,676357.0,"Glucosidase II catalytic subunit required for normal cell wall synthesis; mutations in rot2 suppress tor2 mutations, and are synthetically lethal with rot1 mutations",707.0,2.0,ROT2,161.0,-1.0265112357702098
441,2.0,680050.0,679549.0,Integral mitochondrial outer membrane protein; abundance is decreased in cells grown in glucose relative to other carbon sources; appears to contain 3 alpha-helical transmembrane segments; ORF encodes a 97-basepair intron,733.0,1.0,OM14,236.0,-1.378704485629707
442,2.0,683090.0,682179.0,"Protein of unknown function, component of the SWR1 complex, which exchanges histone variant H2AZ (Htz1p) for chromatin-bound histone H2A",757.0,2.0,SWC5,202.0,-1.857242589380708
443,2.0,683732.0,683373.0,"Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data",,,YBR232C,,
444,2.0,683428.0,684669.0,"RNA binding protein with similarity to mammalian heterogeneous nuclear RNP K protein, involved in the regulation of telomere position effect and telomere length",799.0,2.0,PBP2,202.0,-0.877599646610534
445,2.0,686592.0,685438.0,"Subunit of the ARP2/3 complex, which is required for the motility and integrity of cortical actin patches",746.0,2.0,ARC40,182.0,-2.0551523637567204
446,2.0,686901.0,690263.0,"Putative ion transporter, similar to mammalian electroneutral Na(+)-(K+)-C1- cotransporter family; YBR235W is not an essential gene",781.0,2.0,YBR235W,182.0,-2.49913191306138
447,2.0,691693.0,690383.0,"Methyltransferase, catalyzes the transfer of a methyl group from S-adenosylmethionine to the GpppN terminus of capped mRNA",738.0,2.0,ABD1,188.0,-1.8373288608438871
448,2.0,691969.0,694518.0,"RNA helicase in the DEAD-box family, necessary for prespliceosome formation, bridges U1 and U2 snRNPs and enables stable U2 snRNP association with intron RNA",747.0,2.0,PRP5,188.0,-2.543539428618846
449,2.0,697302.0,695107.0,Mitochondrial membrane protein with similarity to Rmd9p; not required for respiratory growth but causes a synthetic respiratory defect in combination with rmd9 mutations; transcriptionally up-regulated by TOR; deletion increases life span,1051.0,1.0,YBR238C,700.0,
450,2.0,699943.0,698354.0,"Transcriptional regulator of nonfermentable carbon utilization; GFP-fusion protein localizes to cytoplasm, nucleus; null mutation affects periodicity of transcriptional and metabolic oscillation; plays role in restricting Ty1 transposition",850.0,2.0,ERT1,308.0,-1.5504929994458203
451,2.0,701842.0,700490.0,"Zinc finger protein of the Zn(II)2Cys6 type, probable transcriptional activator of thiamine biosynthetic genes",746.0,1.0,THI2,124.0,
452,2.0,704055.0,702589.0,"Putative transporter, member of the sugar porter family; green fluorescent protein (GFP)-fusion protein localizes to the vacuolar membrane; YBR241C is not an essential gene",927.0,1.0,YBR241C,427.0,
453,2.0,704670.0,705386.0,Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm and nucleus; YBR242W is not an essential gene,868.0,1.0,YBR242W,427.0,
454,2.0,706793.0,705447.0,"UDP-N-acetyl-glucosamine-1-P transferase, transfers Glc-Nac-P from UDP-GlcNac to Dol-P in the ER in the first step of the dolichol pathway of protein asparagine-linked glycosylation; inhibited by tunicamycin",738.0,1.0,ALG7,649.0,-1.6319427849610977
455,2.0,707528.0,708016.0,Phospholipid hydroperoxide glutathione peroxidase induced by glucose starvation that protects cells from phospholipid hydroperoxides and nonphospholipid peroxides during oxidative stress,742.0,1.0,GPX2,649.0,0.2747011842712856
456,2.0,711539.0,708150.0,"Member of the imitation-switch (ISWI) class of ATP-dependent chromatin remodeling complexes; ATPase that forms a complex with Ioc2p and Ioc4p to regulate transcription elongation, and a complex with Ioc3p to repress transcription initiation",700.0,2.0,ISW1,161.0,-1.4701609667892397
457,2.0,711591.0,712754.0,Putative protein of unknown function; non-essential gene identified in a screen for mutants with increased levels of rDNA transcription; null mutants display a weak carboxypeptidase Y missorting/secretion phenotype,740.0,2.0,RRT2,161.0,-1.5810535917734034
458,2.0,714455.0,713004.0,"Protein associated with U3 and U14 snoRNAs, required for pre-rRNA processing and 40S ribosomal subunit synthesis; localized in the nucleus and concentrated in the nucleolus",723.0,2.0,ENP1,248.0,-1.3804944188175252
459,2.0,716465.0,714807.0,"Imidazole glycerol phosphate synthase (glutamine amidotransferase:cyclase), catalyzes the fifth and sixth steps of histidine biosynthesis and also produces 5-aminoimidazole-4-carboxamide ribotide (AICAR), a purine precursor",776.0,2.0,HIS7,237.0,-1.1172409863400103
460,2.0,717994.0,716882.0,"3-deoxy-D-arabino-heptulosonate-7-phosphate (DAHP) synthase, catalyzes the first step in aromatic amino acid biosynthesis and is feedback-inhibited by tyrosine or high concentrations of phenylalanine or tryptophan",790.0,1.0,ARO4,249.0,-0.1802317178222496
461,2.0,719033.0,720604.0,Protein of unknown function; associates with meiosis-specific protein Spo1p,700.0,1.0,SPO23,249.0,
462,2.0,721390.0,722313.0,Mitochondrial ribosomal protein of the small subunit,786.0,1.0,MRPS5,700.0,-1.916285904270736
463,2.0,722611.0,723054.0,"dUTPase, catalyzes hydrolysis of dUTP to dUMP and PPi, thereby preventing incorporation of uracil into DNA during replication; critical for the maintenance of genetic stability",724.0,2.0,DUT1,199.0,-1.9994809023926996
464,2.0,723270.0,723635.0,Subunit of the RNA polymerase II mediator complex; associates with core polymerase subunits to form the RNA polymerase II holoenzyme; essential for transcriptional regulation,757.0,2.0,SRB6,90.0,-1.6022963244614434
465,2.0,724263.0,723736.0,One of 10 subunits of the transport protein particle (TRAPP) complex of the cis-Golgi which mediates vesicle docking and fusion; mutations in the human homolog cause the spondyloepiphyseal dysplasia tarda (SEDL) disorder,708.0,2.0,TRS20,149.0,-1.711563735878454
466,2.0,724456.0,726540.0,"Protein of unknown function, required for normal growth rate at 15 degrees C; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm in a punctate pattern; mtc4 is synthetically sick with cdc13-1",738.0,2.0,MTC4,149.0,-1.5094408453045831
467,2.0,728102.0,727386.0,Riboflavin synthase; catalyzes the last step of the riboflavin biosynthesis pathway,722.0,1.0,RIB5,700.0,-0.6971679355376681
468,2.0,728885.0,729724.0,"Subunit of both RNase MRP, which cleaves pre-rRNA, and nuclear RNase P, which cleaves tRNA precursors to generate mature 5' ends; binds to the RPR1 RNA subunit in RNase P",744.0,1.0,POP4,700.0,-2.48792267263358
469,2.0,730162.0,729734.0,"Subunit of the COMPASS (Set1C) complex, which methylates histone H3 on lysine 4 and is required in transcriptional silencing near telomeres",733.0,2.0,SHG1,146.0,-1.0305895535452825
470,2.0,730387.0,732453.0,Putative protein of unknown function; YBR259W is not an essential gene,747.0,2.0,YBR259W,146.0,-1.1936822067002364
471,2.0,734639.0,732639.0,"GTPase-activating protein (RhoGAP) for Rho3p and Rho4p, possibly involved in control of actin cytoskeleton organization",714.0,2.0,RGD1,56.0,-1.524259075499944
472,2.0,735530.0,734832.0,AdoMet-dependent proline methyltransferase; catalyzes the dimethylation of ribosomal proteins Rpl12 and Rps25 at N-terminal proline residues; has a role in protein synthesis; fusion protein localizes to the cytoplasm,725.0,2.0,TAE1,49.0,-0.1569386531934977
473,2.0,736040.0,735720.0,"Protein of unknown function; the authentic, non-tagged protein is detected in purified mitochondria in high-throughput studies; null mutant displays elevated frequency of mitochondrial genome loss",738.0,2.0,AIM5,143.0,-2.0866210886350114
474,2.0,736264.0,737736.0,"Mitochondrial serine hydroxymethyltransferase, converts serine to glycine plus 5,10 methylenetetrahydrofolate; involved in generating precursors for purine, pyrimidine, amino acid, and lipid biosynthesis; reverse reaction generates serine",757.0,2.0,SHM1,143.0,-1.4232804961235148
475,2.0,738369.0,737770.0,Rab family GTP-binding protein that contains the PEST signal sequence specific for proteolytic enzymes; may be involved in vesicular transport; overexpression leads to accumulation of Golgi-like cisternae with budding vesicles,725.0,2.0,YPT10,152.0,-0.9714324688079828
476,2.0,738582.0,739544.0,"3-ketosphinganine reductase, catalyzes the second step in phytosphingosine synthesis, essential for growth in the absence of exogenous dihydrosphingosine or phytosphingosine, member of short chain dehydrogenase/reductase protein family",743.0,2.0,TSC10,152.0,-1.1455026138040545
477,2.0,740388.0,739936.0,Protein with a potential role in actin cytoskeleton organization; gene exhibits synthetic genetic interaction with MSS4 encoding phosphatidylinositol 4-phosphate kinase,,,SLM6,,
478,2.0,739841.0,741022.0,"Cytoplasmic pre-60S factor; required for the correct recycling of shuttling factors Alb1, Arx1 and Tif6 at the end of the ribosomal large subunit biogenesis; involved in bud growth in the mitotic signaling network",718.0,2.0,REI1,147.0,-1.1654882701608456
479,2.0,741299.0,741616.0,Mitochondrial ribosomal protein of the large subunit,720.0,2.0,MRPL37,139.0,-2.180089980873537
480,2.0,742576.0,742160.0,"Putative protein of unknown function; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies",721.0,2.0,FMP21,126.0,-1.5845571825608529
481,2.0,744398.0,742761.0,"Subunit of TORC2, a membrane-associated complex that regulates actin cytoskeletal dynamics during polarized growth and cell wall integrity; interacts with Slm1p and Slm2p, homologous PH domain-containing TORC2 substrates; similar to Bit61p",1002.0,2.0,BIT2,156.0,-0.9615265392819304
482,2.0,744852.0,746111.0,Putative S-adenosylmethionine-dependent methyltransferase of the seven beta-strand family; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm; predicted to be involved in ribosome biogenesis,724.0,2.0,YBR271W,156.0,-1.727905589961762
483,2.0,747803.0,746361.0,Proteasome-interacting protein involved in the assembly of the base subcomplex of the 19S proteasomal regulatory particle (RP); involved in DNA mismatch repair during slow growth; weak similarity to Msh1p; related to human 19S subunit S5b,715.0,2.0,HSM3,153.0,-0.4573549532471714
484,2.0,749371.0,748061.0,UBX (ubiquitin regulatory X) domain-containing protein that interacts with Cdc48p,731.0,2.0,UBX7,142.0,-1.2954797484826353
485,2.0,749594.0,751177.0,"Serine/threonine kinase and DNA damage checkpoint effector, mediates cell cycle arrest via phosphorylation of Pds1p; phosphorylated by checkpoint signal transducer Mec1p; homolog of S. pombe and mammalian Chk1 checkpoint kinase",747.0,2.0,CHK1,142.0,-1.4640898407051095
486,2.0,757106.0,751356.0,Protein that binds to the Rap1p C-terminus and acts synergistically with Rif2p to help control telomere length and establish telomeric silencing; deletion results in telomere elongation,825.0,2.0,RIF1,309.0,-1.3818936827261092
487,2.0,760043.0,757620.0,"Protein phosphatase with specificity for serine, threonine, and tyrosine residues; has a role in the DNA synthesis phase of the cell cycle",795.0,2.0,PPS1,134.0,-0.8234591824607698
488,2.0,760616.0,760215.0,"Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data; partially overlaps the verified gene YBR278W",,,YBR277C,,
489,2.0,760294.0,760899.0,"Third-largest subunit of DNA polymerase II (DNA polymerase epsilon), required to maintain fidelity of chromosomal replication and also for inheritance of telomeric silencing; mRNA abundance peaks at the G1/S boundary of the cell cycle",728.0,2.0,DPB3,134.0,-0.4220611497520412
490,2.0,761257.0,762594.0,"Component of the Paf1p complex that binds to and modulates the activity of RNA polymerases I and II; required for expression of a subset of genes, including cell cycle-regulated genes; homolog of human PD2/hPAF1",735.0,2.0,PAF1,233.0,-0.8342436371056179
491,2.0,764697.0,762784.0,F-Box protein involved in proteasome-dependent degradation of Aah1p during entry of cells into quiescence; interacts with Skp1,723.0,2.0,SAF1,124.0,-0.9798866325838036
492,2.0,767606.0,764970.0,Probable di- and tri-peptidase; forms a complex with Dug1p and Dug3p to degrade glutathione (GSH) and other peptides containing a gamma-glu-X bond in an alternative pathway to GSH degradation by gamma-glutamyl transpeptidase (Ecm38p),745.0,1.0,DUG2,555.0,-0.7145226527079274
493,2.0,768240.0,768680.0,Mitochondrial ribosomal protein of the large subunit,738.0,1.0,MRPL27,555.0,-1.7315384576300523
494,2.0,770415.0,768943.0,Subunit of the Ssh1 translocon complex; Sec61p homolog involved in co-translational pathway of protein translocation; not essential,849.0,1.0,SSH1,333.0,-0.7832879294794726
495,2.0,771239.0,773632.0,Putative protein of unknown function; YBR284W is not an essential gene; null mutant exhibits decreased resistance to rapamycin and wortmannin and synthetic phenotype with alpha-synuclein,712.0,1.0,YBR284W,333.0,
496,2.0,773922.0,774356.0,Putative protein of unknown function; YBR285W is not an essential gene,,,YBR285W,700.0,
497,2.0,774700.0,776313.0,"Vacuolar aminopeptidase Y, processed to mature form by Prb1p",1068.0,1.0,APE3,300.0,-1.9045827095035608
498,2.0,776571.0,777854.0,Protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the ER; YBR287W is not an essential gene,733.0,2.0,YBR287W,154.0,
499,2.0,779463.0,778012.0,Mu3-like subunit of the clathrin associated protein complex (AP-3); functions in transport of alkaline phosphatase to the vacuole via the alternate pathway,750.0,2.0,APM3,147.0,-1.7988149537910596
500,2.0,779667.0,782384.0,Subunit of the SWI/SNF chromatin remodeling complex involved in transcriptional regulation; functions interdependently in transcriptional activation with Snf2p and Snf6p,725.0,2.0,SNF5,147.0,-1.44537048634837
501,2.0,782591.0,783556.0,"Heavy metal ion homeostasis protein, facilitates trafficking of Smf1p and Smf2p metal transporters to the vacuole where they are degraded, controls metal ion transport, prevents metal hyperaccumulation, functions in copper detoxification",720.0,2.0,BSD2,142.0,-2.5088468299291056
502,2.0,784572.0,783673.0,"Mitochondrial inner membrane citrate transporter, member of the mitochondrial carrier family",1200.0,1.0,CTP1,700.0,-1.2599307526095649
503,2.0,785073.0,784702.0,"Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data; YBR292C is not an essential gene",,,YBR292C,,
504,2.0,787006.0,788430.0,Permease of basic amino acids in the vacuolar membrane,1200.0,1.0,VBA2,700.0,-0.4587834034348486
505,2.0,789235.0,791814.0,"High affinity sulfate permease; sulfate uptake is mediated by specific sulfate transporters Sul1p and Sul2p, which control the concentration of endogenous activated sulfate intermediates",805.0,1.0,SUL1,,
506,2.0,792849.0,796499.0,"Cadmium transporting P-type ATPase; may also have a role in copper and iron homeostasis; stabilized by Cd binding, which prevents ubiquitination; S288C and other lab strains contain a G970R mutation which eliminates Cd transport function",751.0,1.0,PCA1,700.0,-1.71490709438571
507,2.0,798522.0,796798.0,"Na+/Pi cotransporter, active in early growth phase; similar to phosphate transporters of Neurospora crassa; transcription regulated by inorganic phosphate concentrations and Pho4p",1000.0,1.0,PHO89,700.0,0.3374022308574691
508,2.0,800523.0,801929.0,"MAL-activator protein, part of complex locus MAL3; nonfunctional in genomic reference strain S288C",1001.0,1.0,MAL33,700.0,-1.353298315319134
509,2.0,804475.0,802631.0,"Maltose permease, high-affinity maltose transporter (alpha-glucoside transporter); encoded in the MAL3 complex locus; member of the 12 transmembrane domain superfamily of sugar transporters; functional in genomic reference strain S288C",700.0,1.0,MAL31,700.0,
510,2.0,805351.0,807105.0,"Maltase (alpha-D-glucosidase), inducible protein involved in maltose catabolism; encoded in the MAL3 complex locus; functional in genomic reference strain S288C; hydrolyzes the disaccharides maltose, turanose, maltotriose, and sucrose",907.0,1.0,MAL32,,-0.9513860679273084
511,2.0,809097.0,808600.0,"Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data; partially overlaps the verified gene YBR301W; YBR300C is not an essential gene",,,YBR300C,,
512,2.0,809057.0,809419.0,"Cell wall mannoprotein with similarity to Tir1p, Tir2p, Tir3p, and Tir4p; member of the seripauperin multigene family encoded mainly in subtelomeric regions; expressed under anaerobic conditions, completely repressed during aerobic growth",1200.0,1.0,PAU24,,
513,2.0,811479.0,810340.0,"Protein of unknown function, member of the DUP380 subfamily of conserved, often subtelomerically-encoded proteins",1200.0,1.0,COS2,,-0.9098108615603752
514,3.0,111916.0,112482.0,"Protein involved in retention of membrane proteins, including Sec12p, in the ER; localized to Golgi; functions as a retrieval receptor in returning membrane proteins to the ER",1200.0,1.0,RER1,188.0,-1.9903896140175013
515,3.0,111675.0,110808.0,Putative protein of unknown function; YCL002C is not an essential gene,,,YCL002C,188.0,
516,3.0,109105.0,110670.0,"Phosphatidylglycerolphosphate synthase, catalyzes the synthesis of phosphatidylglycerolphosphate from CDP-diacylglycerol and sn-glycerol 3-phosphate in the first committed and rate-limiting step of cardiolipin biosynthesis",779.0,2.0,PGS1,99.0,-1.060921080780493
517,3.0,108021.0,108791.0,Protein of unknown function; null mutants have decreased net negative cell surface charge; GFP-fusion protein expression is induced in response to the DNA-damaging agent MMS; native protein is detected in purified mitochondria,747.0,1.0,LDB16,458.0,-2.3887031409342203
518,3.0,107366.0,106974.0,"Dubious ORF unlikely to encode a protein; overlaps verified ORF YCL005W-A; mutations in YCL007C were thought to confer sensitivity to calcofluor white, but this phenotype was later shown to be due to the defect in YCL005W-A",,,YCL007C,,
519,3.0,106853.0,105696.0,"Component of the ESCRT-I complex, which is involved in ubiquitin-dependent sorting of proteins into the endosome; homologous to the mouse and human Tsg101 tumor susceptibility gene; mutants exhibit a Class E Vps phenotype",706.0,2.0,STP22,137.0,-1.4079531306705482
520,3.0,105548.0,104619.0,"Regulatory subunit of acetolactate synthase, which catalyzes the first step of branched-chain amino acid biosynthesis; enhances activity of the Ilv2p catalytic subunit, localizes to mitochondria",729.0,2.0,ILV6,700.0,-1.7143426760164375
521,3.0,104350.0,103571.0,Probable subunit of SAGA histone acetyltransferase complex,720.0,2.0,SGF29,101.0,-1.6153521845646486
522,3.0,103358.0,102075.0,"Poly(A+) RNA-binding protein, involved in the export of mRNAs from the nucleus to the cytoplasm; similar to Hrb1p and Npl3p; also binds single-stranded telomeric repeat sequence in vitro",741.0,2.0,GBP2,700.0,-2.240385977615012
523,3.0,96281.0,101191.0,Protein involved in bud-site selection and required for axial budding pattern; localizes with septins to bud neck in mitosis and may constitute an axial landmark for next round of budding,799.0,2.0,BUD3,391.0,-1.536238986980596
524,3.0,95763.0,94621.0,"Subunit of a complex with Ctf8p and Ctf18p that shares some components with Replication Factor C, required for sister chromatid cohesion and telomere length maintenance",732.0,1.0,DCC1,391.0,0.5515038340882699
525,3.0,94270.0,92777.0,Cysteine desulfurase involved in iron-sulfur cluster (Fe/S) biogenesis and in thio-modification of mitochondrial and cytoplasmic tRNAs; essential protein located predominantly in mitochondria,807.0,2.0,NFS1,107.0,-2.1073395797599157
526,3.0,91324.0,92418.0,"Beta-isopropylmalate dehydrogenase (IMDH), catalyzes the third step in the leucine biosynthesis pathway",700.0,1.0,LEU2,700.0,
527,3.0,85102.0,90415.0,"Retrotransposon TYA Gag and TYB Pol genes; transcribed/translated as one unit; polyprotein is processed to make a nucleocapsid-like protein (Gag), reverse transcriptase (RT), protease (PR), and integrase (IN); similar to retroviral genes",700.0,6.0,YCL019W,,
528,3.0,85102.0,86418.0,Retrotransposon TYA Gag gene co-transcribed with TYB Pol; translated as TYA or TYA-TYB polyprotein; Gag is a nucleocapsid protein that is the structural constituent of virus-like particles (VLPs); similar to retroviral Gag,700.0,6.0,YCL020W,,
529,3.0,82085.0,81570.0,"Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data; completely overlaps verified gene KCC4/YCL024W",,,YCL022C,,
530,3.0,79296.0,78949.0,"Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data; partially overlaps verified ORF KCC4",,,YCL023C,,
531,3.0,79162.0,82275.0,"Protein kinase of the bud neck involved in the septin checkpoint, associates with septin proteins, negatively regulates Swe1p by phosphorylation, shows structural homology to bud neck kinases Gin4p and Hsl1p",759.0,1.0,KCC4,700.0,-1.521533079132145
532,3.0,77919.0,76018.0,"Low-affinity amino acid permease with broad substrate range, involved in uptake of asparagine, glutamine, and other amino acids; expression is regulated by the SPS plasma membrane amino acid sensor system (Ssy1p-Ptr3p-Ssy5p)",729.0,1.0,AGP1,700.0,1.1216309849009791
533,3.0,71803.0,73341.0,"Membrane protein localized to the shmoo tip, required for cell fusion; expression regulated by mating pheromone; proposed to coordinate signaling, fusion, and polarization events required for fusion; potential Cdc28p substrate",730.0,2.0,FUS1,,0.566638829119686
534,3.0,70150.0,71367.0,"[PIN(+)] prion, an infectious protein conformation that is generally an ordered protein aggregate",746.0,2.0,RNQ1,147.0,-0.3053314175239343
535,3.0,69921.0,68599.0,"Microtubule-associated protein, component of the interface between microtubules and kinetochore, involved in sister chromatid separation; essential in polyploid cells but not in haploid or diploid cells; ortholog of mammalian CLIP-170",755.0,2.0,BIK1,147.0,-0.9410942627347048
536,3.0,68333.0,65934.0,"Multifunctional enzyme containing phosphoribosyl-ATP pyrophosphatase, phosphoribosyl-AMP cyclohydrolase, and histidinol dehydrogenase activities; catalyzes the second, third, ninth and tenth steps in histidine biosynthesis",760.0,2.0,HIS4,700.0,0.5469063776301137
537,3.0,65568.0,64675.0,Essential protein involved in rRNA processing and ribosome biogenesis,742.0,2.0,RRP7,226.0,-2.099152959925497
538,3.0,63441.0,64481.0,"Protein involved in mating response, invasive/filamentous growth, and osmotolerance, acts as an adaptor that links G protein-associated Cdc42p-Ste20p complex to the effector Ste11p to modulate signal transduction",753.0,2.0,STE50,95.0,-0.0658742895207957
539,3.0,63282.0,62776.0,"Methionine-R-sulfoxide reductase, involved in the response to oxidative stress; protects iron-sulfur clusters from oxidative inactivation along with MXR1; involved in the regulation of lifespan",700.0,2.0,MXR2,95.0,-1.3877166705268742
540,3.0,61658.0,62722.0,"Protein of unknown function; binds Las17p, which is a homolog of human Wiskott-Aldrich Syndrome protein involved in actin patch assembly and actin polymerization; may mediate disassembly of the Pan1 complex from the endocytic coat",745.0,1.0,LSB5,406.0,-1.6321973688971578
541,3.0,61173.0,60841.0,Hydroperoxide and superoxide-radical responsive heat-stable glutathione-dependent disulfide oxidoreductase with active site cysteine pair; protects cells from oxidative damage,747.0,1.0,GRX1,406.0,-0.4294282885021667
542,3.0,59026.0,60726.0,"Protein of unknown function, identified as a high-copy suppressor of a dbp5 mutation",753.0,2.0,GFD2,243.0,-0.9749171026751328
543,3.0,58678.0,57374.0,"Cytoplasmic RNA-binding protein that associates with translating ribosomes; involved in heme regulation of Hap1p as a component of the HMC complex, also involved in the organization of actin filaments; contains a La motif",767.0,2.0,SRO9,243.0,-1.5860350134390355
544,3.0,56527.0,54941.0,Vacuolar integral membrane protein required for efflux of amino acids during autophagic body breakdown in the vacuole; null mutation causes a gradual loss of viability during starvation,846.0,1.0,ATG22,215.0,-0.2645780990327244
545,3.0,52645.0,54882.0,"Protein of unknown function, involved in proteasome-dependent catabolite inactivation of fructose-1,6-bisphosphatase; contains six WD40 repeats; computational analysis suggests that Gid7p and Moh1p have similar functions",720.0,2.0,GID7,107.0,-0.9183184420871084
546,3.0,50838.0,52340.0,"Glucokinase, catalyzes the phosphorylation of glucose at C6 in the first irreversible step of glucose metabolism; one of three glucose phosphorylating enzymes; expression regulated by non-fermentable carbon sources",729.0,1.0,GLK1,414.0,0.5130058332489531
547,3.0,50627.0,50133.0,"Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data; partially overlaps both the verified gene PDI1/YCL043C and the uncharacterized gene YCL042W",,,YCL041C,,
548,3.0,50584.0,50943.0,Putative protein of unknown function; epitope-tagged protein localizes to the cytoplasm,,,YCL042W,137.0,
549,3.0,50221.0,48653.0,"Protein disulfide isomerase, multifunctional protein resident in the endoplasmic reticulum lumen, essential for the formation of disulfide bonds in secretory and cell-surface proteins, unscrambles non-native disulfide bonds",737.0,1.0,PDI1,137.0,-0.9036580788815805
550,3.0,48364.0,47111.0,"Subunit of the mitochondrial (mt) i-AAA protease supercomplex, which degrades misfolded mitochondrial proteins; forms a subcomplex with Mgr3p that binds to substrates to facilitate proteolysis; required for growth of cells lacking mtDNA",747.0,2.0,MGR1,140.0,-0.8697348806394798
551,3.0,46905.0,44623.0,Member of a transmembrane complex required for efficient folding of proteins in the ER; null mutant displays induction of the unfolded protein response; interacts with Gal80p,738.0,2.0,EMC1,700.0,-2.8359430931547065
552,3.0,46640.0,46963.0,"Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data; partially overlaps the uncharacterized ORF YCL045C",,,YCL046W,,
553,3.0,44437.0,43661.0,Putative protein of unknown function,714.0,2.0,YCL047C,114.0,-0.1870819647259871
554,3.0,42165.0,43556.0,"Protein of unknown function, redundant with Sps2p for the organization of the beta-glucan layer of the spore wall",721.0,1.0,SPS22,,
555,3.0,40724.0,39786.0,Protein of unknown function; localizes to membrane fraction; YCL049C is not an essential gene,755.0,1.0,YCL049C,638.0,
556,3.0,38801.0,37836.0,"Diadenosine 5',5''-P1,P4-tetraphosphate phosphorylase I (AP4A phosphorylase), involved in catabolism of bis(5'-nucleosidyl) tetraphosphates; has similarity to Apa2p",762.0,1.0,APA1,700.0,-1.2607399709236748
